               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11899,            0.097118,              0.1015,           0.0016307,            0.042167,           0.0013273,          0.00027314,             0.10349,            0.079694,             0.10009,              0.0892,              0.0012,              0.0012
                   1,            0.099175,            0.097457,            0.098285,            0.032445,             0.14782,            0.007442,            0.001834,            0.089686,             0.14532,             0.10584,            0.077492,           0.0024918,           0.0024918
                   2,            0.079744,            0.081568,            0.095895,            0.086579,             0.18204,            0.022973,           0.0068097,            0.080319,            0.094351,            0.094883,            0.065775,           0.0037749,           0.0037749
                   3,            0.072665,            0.083418,             0.09171,            0.018536,             0.34302,            0.034844,            0.012624,            0.071924,            0.082596,            0.091961,             0.05405,           0.0050495,           0.0050495
                   4,            0.072757,            0.081477,            0.090346,            0.081854,             0.14807,             0.05181,            0.017719,            0.083262,            0.070779,            0.090164,            0.042316,           0.0063155,           0.0063155
                   5,            0.071733,            0.082312,            0.090098,            0.045779,             0.24978,             0.04019,            0.011241,            0.081708,            0.064354,            0.088459,            0.030573,            0.007573,            0.007573
                   6,            0.075376,            0.073218,            0.087838,            0.097034,             0.18392,            0.078418,            0.027049,            0.078417,            0.053915,            0.087017,            0.018822,           0.0088218,           0.0088218
                   7,            0.072047,            0.074396,            0.087626,             0.12077,             0.15081,            0.082683,            0.033429,            0.066929,            0.059781,            0.085979,            0.009769,            0.009769,            0.009769
                   8,            0.067535,            0.073273,            0.085453,            0.040033,              0.4697,             0.10735,            0.038628,            0.055136,            0.058273,            0.084229,            0.009769,            0.009769,            0.009769
                   9,            0.060989,             0.07827,             0.08439,             0.87049,            0.066257,             0.10886,            0.043274,            0.066602,            0.073798,            0.083038,            0.009736,            0.009736,            0.009736
                  10,            0.058825,            0.076715,            0.082369,            0.096967,             0.35803,             0.12806,            0.059821,            0.051453,               0.063,            0.081715,            0.009703,            0.009703,            0.009703
                  11,            0.056157,            0.071073,            0.080887,             0.23627,             0.27222,              0.1475,            0.060203,            0.052999,            0.058914,            0.080631,             0.00967,             0.00967,             0.00967
                  12,            0.054174,            0.070913,            0.080797,             0.16112,             0.33498,             0.15994,            0.064404,            0.047831,            0.059122,            0.079048,            0.009637,            0.009637,            0.009637
                  13,            0.055935,            0.076017,            0.078376,              0.8911,              0.1183,             0.18188,            0.070144,            0.052019,            0.057066,            0.077728,            0.009604,            0.009604,            0.009604
                  14,            0.052625,            0.073557,            0.073381,             0.27751,             0.28412,             0.18054,            0.067927,            0.047312,            0.056685,            0.076622,            0.009571,            0.009571,            0.009571
                  15,            0.052345,            0.071475,            0.075497,             0.36913,             0.27815,             0.23982,             0.10464,             0.04479,            0.056305,            0.075314,            0.009538,            0.009538,            0.009538
                  16,            0.050978,            0.062082,            0.072183,             0.39475,             0.28319,             0.23424,            0.096451,            0.046402,            0.058574,            0.073053,            0.009505,            0.009505,            0.009505
                  17,            0.050797,            0.074474,             0.07006,              0.3594,             0.36122,             0.24548,            0.092882,            0.049111,            0.057314,            0.071577,            0.009472,            0.009472,            0.009472
                  18,            0.049893,            0.072828,            0.068006,             0.43067,             0.27116,             0.25011,             0.09467,            0.049068,            0.058195,            0.069412,            0.009439,            0.009439,            0.009439
                  19,            0.053019,            0.067209,             0.06563,             0.65686,               0.257,             0.29605,             0.11331,            0.048692,            0.054918,             0.06698,            0.009406,            0.009406,            0.009406
                  20,            0.049602,            0.067831,            0.065058,              0.4749,             0.24391,             0.25006,             0.12455,            0.044126,            0.061534,            0.072792,            0.009373,            0.009373,            0.009373
                  21,             0.04923,            0.071522,             0.06384,             0.43988,             0.20591,             0.21179,            0.087199,            0.051165,            0.065434,            0.072899,             0.00934,             0.00934,             0.00934
                  22,            0.049302,            0.069556,            0.061429,             0.47307,             0.33615,             0.37223,             0.15132,            0.046687,            0.056563,            0.063202,            0.009307,            0.009307,            0.009307
                  23,            0.048833,            0.066701,            0.061684,             0.77713,             0.26239,             0.40361,             0.18193,            0.043111,            0.056618,             0.06255,            0.009274,            0.009274,            0.009274
                  24,             0.04718,            0.066015,            0.058355,             0.44679,             0.50651,             0.48985,             0.23092,            0.043564,            0.057716,            0.057449,            0.009241,            0.009241,            0.009241
                  25,             0.04937,              0.0671,              0.0569,             0.40442,             0.48076,             0.41615,             0.17082,            0.046123,            0.056941,            0.057777,            0.009208,            0.009208,            0.009208
                  26,            0.049007,            0.063769,            0.055117,             0.59931,             0.43638,             0.52989,             0.22906,            0.043978,            0.057855,            0.056475,            0.009175,            0.009175,            0.009175
                  27,            0.049517,            0.067926,            0.054167,             0.73567,             0.43396,              0.5737,             0.22893,            0.046744,            0.057346,             0.05344,            0.009142,            0.009142,            0.009142
                  28,            0.048519,            0.070657,            0.051443,             0.54347,             0.53748,             0.59735,             0.27623,            0.041946,            0.054045,            0.051908,            0.009109,            0.009109,            0.009109
                  29,            0.049537,             0.06978,            0.049528,             0.62873,             0.46201,             0.56657,             0.25028,            0.046451,            0.055968,            0.050114,            0.009076,            0.009076,            0.009076
                  30,            0.049536,            0.067594,            0.048385,             0.68897,             0.55185,              0.6181,             0.30014,            0.042225,            0.054234,            0.049233,            0.009043,            0.009043,            0.009043
                  31,            0.048576,             0.06494,            0.046944,             0.68722,             0.53167,             0.54974,             0.23811,            0.047549,            0.055269,            0.049088,             0.00901,             0.00901,             0.00901
                  32,            0.048218,            0.064926,            0.046312,             0.74329,              0.5543,             0.66388,             0.30489,            0.042432,            0.057889,            0.045795,            0.008977,            0.008977,            0.008977
                  33,            0.047766,            0.065825,            0.044229,             0.72495,              0.5789,             0.65087,             0.29639,             0.04659,            0.054504,            0.044041,            0.008944,            0.008944,            0.008944
                  34,             0.04882,            0.065536,            0.041109,             0.66849,             0.62169,             0.66344,             0.27875,            0.046207,            0.056732,            0.043119,            0.008911,            0.008911,            0.008911
                  35,            0.049536,            0.065723,            0.041079,             0.72153,             0.59247,             0.66906,             0.29322,             0.04578,            0.054417,            0.040552,            0.008878,            0.008878,            0.008878
